画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-08-01-A1-0095-O,,●,●,2,2024/11/27_09:25:15,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0096-O,,●,●,2,2024/12/12_14:57:20,M.S.,2024/12/12_15:21:00,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0097-O,,●,●,2,2024/11/27_09:25:22,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0098-O,,●,●,2,2024/11/27_09:25:25,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0099-O,,●,●,1,2024/11/18_16:18:48,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0100-O,,●,●,1,2024/11/18_16:18:54,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0101-O,,●,●,1,2024/11/18_16:18:56,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0102-O,,●,●,1,2024/11/18_16:18:58,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0103-O,,●,●,1,2024/11/18_16:19:00,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0104-O,,●,●,1,2024/11/18_16:19:17,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0105-O,,●,●,1,2024/11/18_16:19:19,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0106-O,,●,●,1,2024/11/18_16:19:21,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0107-O,,●,●,1,2024/11/18_16:19:24,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0108-O,,●,●,1,2024/11/18_16:19:26,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0109-O,,●,●,1,2024/11/18_16:19:32,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,●,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0110-O,,●,●,1,2024/11/18_16:19:39,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,●,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0112-O,,●,●,1,2024/11/18_16:19:54,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,●,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0113-O,,●,●,2,2024/11/27_09:26:19,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0114-O,,●,●,2,2024/11/18_16:20:03,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0115-O,,●,●,1,2024/11/18_16:20:08,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0116-O,,●,●,1,2024/11/18_16:20:20,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0117-O,,●,●,1,2024/11/18_16:20:23,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0118-O,,●,●,4,2024/12/12_15:05:39,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0119-O,,●,●,4,2024/12/12_15:05:58,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0120-O,,●,●,4,2024/12/12_15:06:00,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0121-O,,●,●,4,2024/12/12_15:06:03,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0122-O,,●,●,4,2024/12/12_15:06:06,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0123-O,,●,●,4,2024/12/12_15:06:08,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0124-O,,●,●,4,2024/12/12_15:06:12,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0125-O,,●,●,4,2024/12/12_15:06:15,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0126-O,,●,●,4,2024/12/12_15:06:24,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0127-O,,●,●,4,2024/12/12_15:06:29,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0128-O,,●,●,2,2024/11/27_09:27:05,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0129-O,,●,●,1,2024/11/18_16:21:36,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0130-O,,●,●,1,2024/11/18_16:21:38,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0132-O,,●,●,1,2024/11/18_16:21:44,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0133-O,,●,●,1,2024/11/18_16:21:47,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0134-O,,●,●,4,2024/12/12_15:06:46,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0135-O,,●,●,4,2024/12/12_15:06:50,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0136-O,,●,●,4,2024/12/12_15:06:53,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0137-O,,●,●,1,2024/11/18_16:22:02,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0138-O,,●,●,2,2024/11/27_09:27:42,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0139-O,,●,●,1,2024/11/18_16:22:12,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0141-O,,●,●,1,2024/11/18_16:22:20,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0142-O,,●,●,1,2024/11/18_16:22:23,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0144-O,,●,●,1,2024/11/18_16:22:30,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0145-O,,●,●,1,2024/11/18_16:22:33,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0146-O,,●,●,1,2024/11/18_16:22:37,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0147-O,,●,●,1,2024/11/18_16:22:41,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0148-O,,●,●,1,2024/11/18_16:22:44,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0149-O,,●,●,1,2024/11/18_16:22:47,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0150-O,,●,●,2,2024/11/27_09:28:18,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0151-O,,●,●,1,2024/11/18_16:22:54,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0152-O,,●,●,1,2024/11/18_16:22:57,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0153-O,,●,●,1,2024/11/18_16:23:00,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0154-O,,●,●,1,2024/11/18_16:23:03,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0155-O,,●,●,1,2024/11/18_16:23:05,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0156-O,,●,●,1,2024/11/18_16:23:08,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0157-O,,●,●,1,2024/11/18_16:23:11,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0159-O,,●,●,1,2024/11/18_16:23:25,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0160-O,,●,●,2,2024/12/12_15:10:23,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0161-O,,●,●,2,2024/12/12_15:10:17,M.S.,2024/12/12_15:21:00,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0163-O,,●,●,1,2024/11/18_16:23:38,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0164-O,,●,●,1,2024/11/18_16:23:49,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0165-O,,●,●,1,2024/11/18_16:23:51,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0166-O,,●,●,1,2024/11/18_16:29:19,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0167-O,,●,●,1,2024/11/18_16:29:26,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0168-O,,●,●,1,2024/11/18_16:29:29,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0290-O,,●,●,1,2024/11/18_16:29:32,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0291-O,,●,●,1,2024/11/18_16:29:35,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0292-O,,●,●,1,2024/11/18_16:29:37,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0293-O,,●,●,1,2024/11/18_16:29:39,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0294-O,,●,●,1,2024/11/18_16:29:41,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0295-O,,●,●,2,2024/11/18_16:30:03,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0296-O,,●,●,2,2024/11/18_16:30:06,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0297-O,,●,●,1,2024/11/18_16:30:10,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0298-O,,●,●,1,2024/11/18_16:30:15,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0300-O,,●,●,1,2024/11/18_16:30:23,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0301-O,,●,●,1,2024/11/18_16:30:30,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0307-O,,●,●,1,2024/11/18_16:31:00,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0308-O,,●,●,1,2024/11/18_16:31:02,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0309-O,,●,●,1,2024/11/18_16:31:12,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0310-O,,●,●,1,2024/11/18_16:31:16,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0311-O,,●,●,1,2024/11/18_16:31:20,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0312-O,,●,●,1,2024/11/18_16:31:23,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0313-O,,●,●,2,2024/11/18_16:31:29,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0314-O,,●,●,1,2024/11/18_16:31:33,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0315-O,,●,●,1,2024/11/18_16:31:37,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0316-O,,●,●,1,2024/11/18_16:31:43,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0317-O,,●,●,1,2024/11/18_16:31:52,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0318-O,,●,●,1,2024/11/18_16:31:58,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0319-O,,●,●,1,2024/11/18_16:32:01,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0320-O,,●,●,1,2024/11/18_16:33:27,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0321-O,,●,●,1,2024/11/18_16:33:30,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0322-O,,●,●,1,2024/11/18_16:33:34,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0323-O,,●,●,1,2024/11/18_16:33:38,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0325-O,,●,●,1,2024/11/18_16:34:08,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0326-O,,●,●,1,2024/11/18_16:34:10,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0327-O,,●,●,1,2024/11/18_16:34:15,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0328-O,,●,●,1,2024/11/18_16:34:18,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0329-O,,●,●,1,2024/11/18_16:34:21,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0330-O,,●,●,1,2024/11/18_16:34:26,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
